2026-07-06 17:32:55,658 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Analysis frame_loading elapsed=0.63s
2026-07-06 17:33:49,222 | INFO | httpx | HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-06 17:33:49,228 | INFO | vlm_auto_annotation.flows.utils | Stage analysis_scene elapsed=53.57s success=True
2026-07-06 17:34:42,554 | INFO | httpx | HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-06 17:34:42,555 | INFO | vlm_auto_annotation.flows.utils | Stage analysis_events elapsed=53.33s success=True
2026-07-06 17:34:42,557 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Analysis postprocess elapsed=53.33s
2026-07-06 17:34:43,828 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Refinement frame_loading elapsed=1.27s
2026-07-06 17:35:53,015 | INFO | httpx | HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-06 17:35:53,016 | INFO | vlm_auto_annotation.flows.utils | Stage refinement_phases elapsed=69.19s success=True
2026-07-06 17:37:13,175 | INFO | httpx | HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-06 17:37:13,181 | INFO | vlm_auto_annotation.flows.utils | Stage refinement_boundaries elapsed=80.16s success=True
2026-07-06 17:37:13,182 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Refinement postprocess elapsed=0.00s
2026-07-06 17:37:13,183 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Flow single_view_no_steps_raw elapsed=258.16s
2026-07-06 17:37:13,467 | INFO | vlm_auto_annotation.flows.flow_analysis_refinement | Analysis frame_loading elapsed=0.28s
